taxon_id	species	genus	scientist_family	inat_family	global_count	v3_role	v3_accepted	exact_label_accepted	metadata_mismatch_count	family_smoothed_yield	estimated_exact_accepted	planned_accepted_target	v4_role	selection_reason
49378	Ostracion cubicum	Ostracion	Ostraciidae	Ostraciidae	439	broad_pretraining	200	200	0	0.431639	189	200	primary_train	v3_exact_label_count_meets_minimum
47527	Ostracion meleagris	Ostracion	Ostraciidae	Ostraciidae	553	broad_pretraining	200	200	0	0.431639	239	200	primary_train	v3_exact_label_count_meets_minimum
49210	Plotosus lineatus	Plotosus	Plotosidae	Plotosidae	277	broad_pretraining	31	31	0	0.225413	62	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
84181	Pomacanthus imperator	Pomacanthus	Pomacanthidae	Pomacanthidae	318	common_target_pretraining	162	162	0	0.400573	127	200	primary_train	v3_exact_label_count_meets_minimum
111389	Pygoplites diacanthus	Pygoplites	Pomacanthidae	Pomacanthidae	484	common_target_pretraining	200	200	0	0.400573	194	200	primary_train	v3_exact_label_count_meets_minimum
47235	Holacanthus ciliaris	Holacanthus	Pomacanthidae	Pomacanthidae	345	broad_pretraining	169	169	0	0.400573	138	200	primary_train	v3_exact_label_count_meets_minimum
49495	Holacanthus tricolor	Holacanthus	Pomacanthidae	Pomacanthidae	259	broad_pretraining	93	93	0	0.400573	104	200	reserve_backfill	near_minimum_or_projection_uncertain
49427	Pomacanthus arcuatus	Pomacanthus	Pomacanthidae	Pomacanthidae	314	broad_pretraining	113	113	0	0.400573	126	200	primary_train	v3_exact_label_count_meets_minimum
49257	Pomacanthus paru	Pomacanthus	Pomacanthidae	Pomacanthidae	571	broad_pretraining	200	200	0	0.400573	229	200	primary_train	v3_exact_label_count_meets_minimum
49403	Abudefduf vaigiensis	Abudefduf	Pomacentridae	Pomacentridae	898	common_target_pretraining	200	200	0	0.231227	208	200	primary_train	v3_exact_label_count_meets_minimum
136345	Amphiprion clarkii	Amphiprion	Pomacentridae	Pomacentridae	453	common_target_pretraining	122	122	0	0.231227	105	200	primary_train	v3_exact_label_count_meets_minimum
134156	Amphiprion perideraion	Amphiprion	Pomacentridae	Pomacentridae	308	common_target_pretraining	33	33	0	0.231227	71	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
179872	Dascyllus reticulatus	Dascyllus	Pomacentridae	Pomacentridae	359	common_target_pretraining	58	58	0	0.231227	83	200	reserve_backfill	near_minimum_or_projection_uncertain
49303	Dascyllus trimaculatus	Dascyllus	Pomacentridae	Pomacentridae	752	common_target_pretraining	200	200	0	0.231227	174	200	primary_train	v3_exact_label_count_meets_minimum
181028	Pomacentrus moluccensis	Pomacentrus	Pomacentridae	Pomacentridae	360	common_target_pretraining	91	91	0	0.231227	83	200	reserve_backfill	near_minimum_or_projection_uncertain
49402	Abudefduf saxatilis	Abudefduf	Pomacentridae	Pomacentridae	1312	broad_pretraining	200	200	0	0.231227	303	200	primary_train	v3_exact_label_count_meets_minimum
49401	Abudefduf sexfasciatus	Abudefduf	Pomacentridae	Pomacentridae	750	broad_pretraining	200	200	0	0.231227	173	200	primary_train	v3_exact_label_count_meets_minimum
